"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\React\ifitfedchallenge\README.md", "Markdown", 37, 0, 0, 0, 0, 0, 0, 0, 32, 69
"c:\React\ifitfedchallenge\package-lock.json", "JSON", 0, 0, 14630, 0, 0, 0, 0, 0, 1, 14631
"c:\React\ifitfedchallenge\package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\React\ifitfedchallenge\public\index.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 23, 1, 45
"c:\React\ifitfedchallenge\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\React\ifitfedchallenge\src\App.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\React\ifitfedchallenge\src\App.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\React\ifitfedchallenge\src\assets\facebook.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\React\ifitfedchallenge\src\assets\gear-junkie-logo.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\React\ifitfedchallenge\src\assets\ifit-coach-logo.svg", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 1, 30
"c:\React\ifitfedchallenge\src\assets\instagram.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\React\ifitfedchallenge\src\assets\mashable-logo.svg", "XML", 0, 0, 0, 0, 0, 67, 0, 0, 1, 68
"c:\React\ifitfedchallenge\src\assets\pinterest.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\React\ifitfedchallenge\src\assets\twitter.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\React\ifitfedchallenge\src\assets\wired-logo.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\React\ifitfedchallenge\src\assets\youtube.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\React\ifitfedchallenge\src\components\Carousel\Carousel.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 15, 79
