Date : 2020-06-02 20:40:28
Directory : c:\React\ifitfedchallenge
Total : 58 files,  16052 codes, 70 comments, 217 blanks, all 16339 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     14,690 |          0 |          3 |     14,693 |
| JavaScript |         24 |        588 |         38 |        100 |        726 |
| SCSS       |         19 |        580 |          9 |         75 |        664 |
| XML        |          9 |        124 |          0 |          4 |        128 |
| Markdown   |          1 |         37 |          0 |         32 |         69 |
| HTML       |          1 |         21 |         23 |          1 |         45 |
| CSS        |          1 |         12 |          0 |          2 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |         58 |     16,052 |         70 |        217 |     16,339 |
| public                                                                                                  |          2 |         46 |         23 |          2 |         71 |
| src                                                                                                     |         53 |      1,304 |         47 |        181 |      1,532 |
| src\assets                                                                                              |          9 |        124 |          0 |          4 |        128 |
| src\components                                                                                          |         36 |      1,027 |          9 |        149 |      1,185 |
| src\components\Carousel                                                                                 |          4 |        110 |          1 |         23 |        134 |
| src\components\Carousel\CarouselItem                                                                    |          2 |         27 |          1 |          5 |         33 |
| src\components\CoursePanel                                                                              |         10 |        279 |          2 |         36 |        317 |
| src\components\CoursePanel\Course                                                                       |          8 |        196 |          2 |         31 |        229 |
| src\components\CoursePanel\Course\CourseIconLabel                                                       |          2 |         30 |          0 |          4 |         34 |
| src\components\CoursePanel\Course\CourseImage                                                           |          2 |         14 |          0 |          3 |         17 |
| src\components\CoursePanel\Course\CourseOverlay                                                         |          2 |         53 |          2 |          7 |         62 |
| src\components\EquipmentPanel                                                                           |          4 |         81 |          0 |         11 |         92 |
| src\components\EquipmentPanel\EquipmentCard                                                             |          2 |         40 |          0 |          6 |         46 |
| src\components\Footer                                                                                   |          4 |        192 |          1 |         21 |        214 |
| src\components\Footer\SocialMedia                                                                       |          2 |         35 |          0 |          4 |         39 |
| src\components\Layout                                                                                   |          2 |         23 |          0 |          3 |         26 |
| src\components\MainImage                                                                                |          2 |        134 |          4 |         21 |        159 |
| src\components\Menu                                                                                     |          4 |         98 |          1 |         16 |        115 |
| src\components\Menu\MenuItem                                                                            |          2 |         34 |          0 |          6 |         40 |
| src\components\Navigation                                                                               |          4 |         62 |          0 |         11 |         73 |
| src\components\Navigation\NavigationButton                                                              |          2 |         30 |          0 |          4 |         34 |
| src\components\UI                                                                                       |          2 |         48 |          0 |          7 |         55 |
| src\components\UI\OvalButton                                                                            |          2 |         48 |          0 |          7 |         55 |
| src\containers                                                                                          |          2 |         12 |          0 |          4 |         16 |
| src\containers\Home                                                                                     |          2 |         12 |          0 |          4 |         16 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\React\ifitfedchallenge\README.md                                                                     | Markdown   |         37 |          0 |         32 |         69 |
| c:\React\ifitfedchallenge\package-lock.json                                                             | JSON       |     14,630 |          0 |          1 |     14,631 |
| c:\React\ifitfedchallenge\package.json                                                                  | JSON       |         35 |          0 |          1 |         36 |
| c:\React\ifitfedchallenge\public\index.html                                                             | HTML       |         21 |         23 |          1 |         45 |
| c:\React\ifitfedchallenge\public\manifest.json                                                          | JSON       |         25 |          0 |          1 |         26 |
| c:\React\ifitfedchallenge\src\App.js                                                                    | JavaScript |         10 |          0 |          3 |         13 |
